Data from Lab 3 circulation 1 (step 16)_Units14_14-53-23-670.txt Node
Standard Time	Epoch Time	Value
HH:MM:SS:000	(msec since 01/01/1900)
Spectrometer: USB2+F01134
Trigger mode: 4
Integration Time (sec): 1.000000E-1
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Time
Number of Pixels in Spectrum: 2048
>>>>>Begin Spectral Data<<<<<
15:44:54.359	1479415494359	0.22
15:45:05.366	1479415505366	0.22
15:45:16.365	1479415516365	0.23
15:45:27.363	1479415527363	0.23
15:45:38.351	1479415538351	0.23
15:45:49.356	1479415549356	0.22
15:46:00.357	1479415560357	0.22
15:46:11.362	1479415571362	0.23
15:46:22.355	1479415582355	0.23
15:46:33.360	1479415593360	0.22
15:46:44.355	1479415604355	0.23
15:46:55.344	1479415615344	0.22
15:47:06.349	1479415626349	0.23
15:47:17.352	1479415637352	0.23
15:47:28.354	1479415648354	0.23
15:47:43.141	1479415663141	0.24
15:47:54.153	1479415674153	0.24
15:48:05.145	1479415685145	0.23
15:48:16.136	1479415696136	0.22
15:48:27.142	1479415707142	0.23
15:48:38.144	1479415718144	0.23
15:48:49.140	1479415729140	0.24
15:49:00.140	1479415740140	0.23
15:49:11.132	1479415751132	0.07
15:49:22.133	1479415762133	0.07
15:49:33.133	1479415773133	0.07
15:49:44.136	1479415784136	0.07
15:49:55.138	1479415795138	0.07
15:50:06.142	1479415806142	0.07
15:50:17.131	1479415817131	0.06
15:50:28.138	1479415828138	0.07
15:50:39.133	1479415839133	0.06
15:50:50.137	1479415850137	-0.1
15:51:01.134	1479415861134	-0.12
15:51:12.130	1479415872130	0
15:51:23.135	1479415883135	0
15:51:34.131	1479415894131	-0
15:51:45.118	1479415905118	0.01
15:51:56.130	1479415916130	0.03
15:52:07.124	1479415927124	0.03
15:52:18.126	1479415938126	0.16
15:52:29.120	1479415949120	0.17
15:52:40.119	1479415960119	0.16
15:52:51.127	1479415971127	0.04
15:53:02.117	1479415982117	0.03
15:53:13.112	1479415993112	0.14
15:53:24.121	1479416004121	0.03
15:53:35.112	1479416015112	0.03
15:53:46.119	1479416026119	-0.11
15:53:57.114	1479416037114	0.15
15:54:08.117	1479416048117	0
15:54:19.105	1479416059105	0.01
15:54:30.109	1479416070109	0.01
15:54:41.107	1479416081107	0.42
15:54:52.103	1479416092103	0.01
15:55:03.114	1479416103114	0.86
15:55:14.109	1479416114109	0
15:55:25.104	1479416125104	0.01
15:55:36.111	1479416136111	0.01
15:55:47.108	1479416147108	0.25
15:55:58.104	1479416158104	0.01
15:56:09.096	1479416169096	0.19
15:56:20.103	1479416180103	-0
15:56:31.094	1479416191094	0.01
15:56:42.092	1479416202092	-0
15:56:53.095	1479416213095	0
15:57:04.090	1479416224090	-0
15:57:15.101	1479416235101	0
15:57:26.095	1479416246095	0
15:57:37.092	1479416257092	-0
15:57:48.085	1479416268085	0
