2/12/2016
4:08 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Annealed
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.119000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00541,2315.6
0.00558,2314.5
0.00573,2314.5
0.00588,2313.9
0.00604,2313.1
0.00618,2312.9
0.00634,2312.4
0.00652,2309.3
0.00676,2299.2
0.00699,2291.9
0.00708,2285.4
0.00719,2283.6
0.00739,2281.8
0.00758,2283.0
0.00776,2282.0
0.00795,2278.3
0.00812,2277.2
0.00831,2277.6
0.00846,2277.1
0.00863,2277.8
0.00881,2277.7
0.00897,2280.2
0.00913,2280.8
0.00929,2283.6
0.00945,2285.9
0.00960,2286.1
0.00977,2282.8
0.00994,2282.7
0.01011,2283.7
0.01029,2282.7
0.01046,2283.4
0.01062,2283.4
0.01079,2280.5
0.01099,2281.0
0.01116,2280.8
0.01134,2280.6
0.01152,2280.6
0.01170,2280.5
0.01187,2281.5
0.01205,2281.6
0.01223,2283.6
0.01242,2284.2
0.01259,2283.3
0.01280,2282.4
0.01298,2281.8
0.01317,2282.7
0.01335,2282.7
0.01355,2283.5
0.01373,2281.8
0.01397,2280.8
0.01418,2279.4
0.01442,2276.9
0.01465,2271.3
0.01489,2269.0
0.01511,2267.6
0.01530,2269.1
0.01548,2271.3
0.01567,2272.5
0.01586,2274.7
0.01604,2279.6
0.01620,2283.2
0.01638,2286.7
0.01656,2289.7
0.01672,2292.9
0.01691,2293.5
0.01707,2296.8
0.01725,2299.6
0.01742,2300.7
0.01761,2303.8
0.01777,2307.2
0.01794,2308.0
0.01812,2309.1
0.01831,2309.3
0.01851,2311.5
0.01869,2312.4
0.01887,2313.8
0.01907,2315.0
0.01923,2315.9
0.01943,2317.8
0.01960,2319.6
0.01980,2320.3
0.01997,2321.7
0.02016,2322.8
0.02033,2322.4
0.02052,2324.4
0.02070,2324.6
0.02087,2324.7
0.02108,2325.2
0.02127,2326.5
0.02143,2326.7
0.02164,2326.5
0.02184,2327.2
0.02202,2327.9
0.02221,2328.1
0.02241,2329.3
0.02260,2329.9
0.02280,2329.6
0.02299,2327.5
0.02322,2328.9
0.02342,2328.4
0.02361,2329.4
0.02381,2328.6
0.02402,2329.7
0.02423,2329.7
0.02442,2329.5
0.02463,2328.7
0.02484,2328.7
0.02505,2327.2
0.02525,2324.4
0.02551,2322.3
0.02574,2319.1
0.02598,2317.0
0.02621,2313.2
0.02646,2309.3
0.02671,2305.0
0.02695,2302.4
0.02717,2302.0
0.02739,2301.9
0.02760,2302.5
0.02783,2304.8
0.02801,2307.5
0.02824,2306.2
0.02845,2304.7
0.02866,2306.2
0.02883,2309.7
0.02901,2313.1
0.02922,2317.6
0.02937,2322.1
0.02959,2324.0
0.02978,2326.4
0.02999,2326.0
0.03022,2324.8
0.03042,2322.8
0.03063,2323.7
0.03083,2323.7
0.03108,2323.4
0.03128,2323.2
0.03148,2322.9
0.03168,2324.2
0.03188,2327.2
0.03207,2329.4
0.03225,2330.9
0.03244,2333.1
0.03263,2336.4
0.03284,2337.3
0.03304,2338.7
0.03321,2340.8
0.03343,2340.8
0.03363,2340.9
0.03385,2339.4
0.03407,2337.0
0.03431,2333.0
0.03457,2328.8
0.03481,2324.9
0.03506,2320.6
0.03531,2317.0
0.03553,2314.7
0.03579,2310.2
0.03602,2304.8
0.03627,2304.1
0.03650,2302.4
0.03671,2303.0
0.03692,2302.2
0.03715,2300.4
0.03739,2298.9
0.03761,2295.6
0.03786,2293.1
0.03808,2291.6
0.03831,2290.7
0.03853,2290.8
0.03876,2293.0
0.03897,2290.8
0.03921,2289.0
0.03943,2290.1
0.03963,2292.3
0.03983,2292.9
0.04003,2296.2
0.04020,2301.7
0.04042,2304.9
0.04062,2307.3
0.04081,2308.9
0.04098,2312.4
0.04118,2315.8
0.04139,2318.3
0.04156,2319.8
0.04176,2323.7
0.04195,2326.5
0.04212,2329.1
0.04232,2331.3
0.04251,2333.3
0.04270,2334.9
0.04290,2338.6
0.04309,2339.6
0.04329,2343.4
0.04348,2344.2
0.04367,2346.0
0.04388,2347.9
0.04407,2347.3
0.04427,2348.8
0.04447,2349.8
0.04469,2350.9
0.04489,2349.5
0.04507,2350.0
0.04531,2350.2
0.04551,2350.0
0.04570,2349.9
0.04593,2350.0
0.04615,2348.3
0.04634,2349.7
0.04654,2349.1
0.04675,2348.6
0.04698,2348.3
0.04717,2347.9
0.04739,2347.0
0.04761,2347.4
0.04779,2345.9
0.04802,2344.9
0.04823,2345.7
0.04845,2343.6
0.04864,2342.9
0.04885,2343.6
0.04908,2342.7
0.04928,2343.0
0.04950,2341.4
0.04970,2341.0
0.04993,2340.2
0.05015,2338.0
0.05038,2335.6
0.05062,2333.0
0.05085,2329.2
0.05111,2325.4
0.05139,2312.2
0.05175,2293.3
0.05219,2266.1
0.05261,2239.3
0.05293,2229.6
0.05314,2230.4
0.05333,2238.2
0.05347,2249.2
0.05360,2261.1
0.05376,2273.2
0.05386,2286.4
0.05399,2298.5
0.05411,2311.6
0.05424,2323.4
0.05436,2334.4
0.05450,2346.5
0.05463,2354.6
0.05477,2364.3
0.05491,2372.4
0.05503,2378.1
0.05518,2384.0
0.05531,2390.6
0.05544,2395.9
0.05556,2399.4
0.05569,2405.3
0.05581,2409.6
0.05594,2412.2
0.05607,2415.9
0.05619,2418.8
0.05632,2422.4
0.05644,2424.4
0.05656,2426.9
0.05667,2430.8
0.05680,2433.0
0.05691,2435.5
0.05704,2438.2
0.05713,2439.3
0.05724,2441.7
0.05736,2444.1
0.05747,2446.6
0.05758,2448.3
0.05769,2447.8
0.05776,2446.5
0.05788,2445.8
0.05796,2448.8
0.05808,2451.5
0.05817,2454.3
0.05827,2457.3
0.05838,2459.3
0.05847,2462.2
0.05859,2464.5
0.05869,2465.3
0.05880,2468.0
0.05892,2470.7
0.05901,2472.0
0.05913,2472.4
0.05924,2474.7
0.05933,2476.4
0.05947,2477.6
0.05957,2480.0
0.05970,2481.7
0.05979,2483.1
0.05991,2485.0
0.06002,2487.3
0.06016,2488.8
0.06026,2490.6
0.06040,2490.6
0.06050,2493.2
0.06062,2493.6
0.06074,2495.8
0.06088,2497.0
0.06098,2497.9
0.06109,2500.7
0.06122,2501.7
0.06134,2503.5
0.06146,2503.9
0.06158,2505.2
0.06170,2506.8
0.06182,2508.7
0.06193,2510.5
0.06205,2510.7
0.06218,2511.8
0.06230,2515.2
0.06242,2515.8
0.06253,2517.9
0.06265,2519.9
0.06276,2521.4
0.06289,2522.1
0.06301,2524.3
0.06314,2524.9
0.06325,2527.2
0.06338,2529.1
0.06350,2529.9
0.06362,2533.0
0.06374,2533.8
0.06385,2534.4
0.06398,2537.1
0.06411,2538.7
0.06424,2539.9
0.06435,2540.1
0.06448,2541.9
0.06460,2544.2
0.06474,2545.2
0.06487,2546.3
0.06498,2548.1
0.06510,2547.8
0.06522,2551.2
0.06533,2551.7
0.06546,2552.8
0.06558,2554.6
0.06570,2555.6
0.06582,2557.7
0.06593,2558.6
0.06606,2559.5
0.06620,2562.3
0.06632,2562.6
0.06643,2563.9
0.06656,2564.9
0.06667,2565.6
0.06679,2568.0
0.06692,2569.3
0.06703,2570.8
0.06713,2572.4
0.06727,2573.7
0.06740,2575.8
0.06753,2578.0
0.06764,2578.6
0.06776,2579.4
0.06789,2581.9
0.06801,2581.7
0.06813,2583.7
0.06827,2584.4
0.06838,2586.6
0.06851,2587.3
0.06862,2588.4
0.06874,2590.8
0.06887,2591.1
0.06898,2591.4
0.06910,2593.5
0.06923,2595.4
0.06937,2596.3
0.06948,2597.7
0.06959,2600.1
0.06972,2601.1
0.06983,2600.3
0.06996,2604.1
0.07009,2604.9
0.07021,2605.9
0.07034,2607.8
0.07047,2609.7
0.07058,2611.3
0.07071,2610.8
0.07084,2612.6
0.07097,2613.9
0.07108,2615.7
0.07120,2615.9
0.07133,2618.1
0.07145,2618.5
0.07159,2620.5
0.07171,2620.9
0.07182,2622.5
0.07193,2624.5
0.07206,2626.2
0.07220,2628.5
0.07234,2629.0
0.07245,2629.7
0.07256,2631.7
0.07271,2633.4
0.07283,2634.5
0.07296,2634.7
0.07310,2636.3
0.07322,2637.2
0.07334,2639.9
0.07347,2639.5
