2/12/2016
3:59 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.496000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00061, 460.0
0.00063, 463.3
0.00061, 466.2
0.00063, 469.5
0.00063, 473.6
0.00064, 475.8
0.00064, 478.3
0.00064, 481.5
0.00066, 484.9
0.00067, 487.6
0.00066, 490.5
0.00066, 494.1
0.00066, 497.3
0.00067, 501.5
0.00065, 504.4
0.00067, 507.2
0.00067, 510.4
0.00067, 514.0
0.00067, 517.8
0.00067, 520.9
0.00069, 523.7
0.00070, 527.0
0.00069, 530.2
0.00071, 534.4
0.00071, 536.7
0.00072, 539.6
0.00072, 543.5
0.00072, 545.8
0.00072, 549.2
0.00073, 553.1
0.00073, 556.9
0.00074, 560.8
0.00075, 564.0
0.00074, 567.0
0.00074, 571.9
0.00076, 575.5
0.00075, 579.5
0.00076, 583.3
0.00078, 587.2
0.00078, 591.1
0.00079, 595.6
0.00079, 598.9
0.00079, 602.7
0.00079, 606.1
0.00080, 610.8
0.00080, 614.6
0.00081, 617.7
0.00082, 622.0
0.00082, 625.9
0.00082, 629.9
0.00084, 633.9
0.00084, 638.2
0.00085, 642.5
0.00085, 646.0
0.00085, 651.2
0.00087, 654.4
0.00086, 657.4
0.00087, 662.3
0.00085, 661.7
0.00088, 652.1
0.00088, 660.0
0.00088, 666.1
0.00091, 670.9
0.00089, 677.5
0.00091, 683.0
0.00092, 688.5
0.00092, 692.8
0.00092, 698.8
0.00093, 703.1
0.00092, 708.7
0.00095, 714.0
0.00096, 718.7
0.00097, 723.1
0.00097, 727.7
0.00098, 733.2
0.00099, 737.9
0.00099, 743.6
0.00098, 748.7
0.00099, 752.8
0.00100, 758.5
0.00102, 762.9
0.00101, 768.4
0.00102, 773.0
0.00102, 779.9
0.00103, 784.7
0.00105, 790.6
0.00105, 794.6
0.00105, 799.9
0.00107, 804.3
0.00107, 809.7
0.00108, 814.3
0.00108, 820.5
0.00110, 826.5
0.00110, 830.4
0.00109, 835.9
0.00112, 841.4
0.00112, 846.5
0.00112, 851.9
0.00114, 857.7
0.00113, 862.7
0.00115, 868.8
0.00113, 873.8
0.00115, 878.7
0.00116, 883.7
0.00118, 889.5
0.00117, 894.6
0.00118, 899.4
0.00120, 905.0
0.00120, 911.7
0.00121, 915.8
0.00122, 921.7
0.00121, 927.5
0.00121, 932.9
0.00124, 938.6
0.00124, 944.5
0.00124, 950.4
0.00126, 955.0
0.00126, 960.5
0.00127, 967.8
0.00129, 972.5
0.00127, 978.3
0.00128, 984.1
0.00128, 989.4
0.00130, 995.8
0.00132,1000.7
0.00133,1007.0
0.00133,1013.1
0.00133,1018.1
0.00135,1024.8
0.00136,1030.4
0.00134,1036.0
0.00138,1041.4
0.00135,1047.6
0.00137,1053.8
0.00140,1059.8
0.00139,1065.2
0.00140,1072.5
0.00141,1077.8
0.00141,1083.7
0.00143,1088.0
0.00143,1095.9
0.00143,1100.6
0.00145,1107.2
0.00147,1113.7
0.00147,1119.4
0.00148,1124.5
0.00148,1130.3
0.00148,1137.4
0.00151,1142.2
0.00151,1148.5
0.00151,1156.0
0.00153,1161.6
0.00153,1168.3
0.00155,1173.3
0.00155,1180.5
0.00158,1186.5
0.00155,1192.3
0.00155,1199.1
0.00156,1205.2
0.00159,1211.7
0.00158,1217.2
0.00159,1223.6
0.00162,1229.5
0.00160,1236.1
0.00162,1243.0
0.00162,1248.5
0.00163,1254.3
0.00163,1261.0
0.00165,1268.3
0.00167,1273.8
0.00167,1279.9
0.00168,1285.2
0.00167,1292.9
0.00170,1299.1
0.00171,1305.1
0.00172,1311.6
0.00172,1317.6
0.00171,1323.6
0.00172,1329.7
0.00173,1336.5
0.00174,1344.4
0.00175,1349.6
0.00177,1355.5
0.00177,1362.9
0.00177,1368.8
0.00178,1375.5
0.00177,1381.7
0.00181,1389.8
0.00180,1394.4
0.00182,1401.3
0.00183,1408.3
0.00184,1414.2
0.00183,1420.7
0.00184,1427.0
0.00184,1434.1
0.00186,1440.1
0.00187,1447.6
0.00187,1455.2
0.00188,1460.3
0.00189,1466.6
0.00191,1473.2
0.00192,1479.4
0.00192,1486.2
0.00192,1494.2
0.00193,1499.8
0.00194,1507.3
0.00196,1514.2
0.00196,1521.1
0.00196,1527.2
0.00199,1533.8
0.00198,1540.0
0.00199,1546.9
0.00201,1553.2
0.00199,1560.2
0.00202,1566.3
0.00202,1573.5
0.00203,1580.7
0.00205,1586.8
0.00206,1593.8
0.00206,1600.7
0.00206,1607.0
0.00207,1614.5
0.00209,1622.0
0.00209,1628.1
0.00210,1634.6
0.00210,1642.6
0.00211,1649.4
0.00214,1655.9
0.00214,1661.3
0.00215,1670.4
0.00215,1676.2
0.00217,1684.8
0.00217,1691.9
0.00217,1698.6
0.00219,1705.9
0.00221,1715.5
0.00222,1722.6
0.00221,1728.8
0.00221,1736.8
0.00222,1743.6
0.00224,1752.7
0.00223,1759.0
0.00229,1765.9
0.00227,1774.5
0.00229,1781.8
0.00230,1789.1
0.00229,1797.4
0.00230,1804.3
0.00231,1811.1
0.00232,1820.2
0.00233,1827.4
0.00235,1834.1
0.00236,1841.8
0.00237,1849.5
0.00238,1857.9
0.00238,1864.0
0.00240,1872.7
0.00241,1879.1
0.00241,1886.2
0.00245,1894.1
0.00244,1901.3
0.00245,1909.9
0.00246,1917.2
0.00246,1924.1
0.00247,1932.4
0.00249,1940.9
0.00249,1947.1
