2/12/2016
3:25 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,1018 Cold Rolled
Sample width [inch]:,0.497000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00005,   4.0
0.00006,   4.4
0.00004,   4.0
0.00004,   3.8
0.00004,   3.2
0.00005,   4.0
0.00005,   5.1
0.00003,   4.8
0.00004,   3.2
0.00005,   4.4
0.00004,   3.6
0.00005,   4.2
0.00004,   4.6
0.00005,   4.3
0.00005,   3.3
0.00004,   4.4
0.00004,   4.3
0.00006,   4.5
0.00005,   3.9
0.00005,   3.8
0.00006,   3.5
0.00005,   5.1
0.00004,   5.0
0.00005,   4.2
0.00005,   4.5
0.00004,   5.1
0.00007,   4.3
0.00005,   4.1
0.00005,   3.8
0.00006,   4.1
0.00006,   3.8
0.00006,   4.2
0.00005,   4.1
0.00005,   3.7
0.00005,   4.3
0.00006,   4.5
0.00006,   4.3
0.00004,   5.2
0.00004,   4.3
0.00004,   4.1
0.00005,   3.4
0.00005,   3.6
0.00005,   3.6
0.00004,   4.3
0.00006,   3.7
0.00004,   4.1
0.00004,   3.9
0.00004,   4.8
0.00005,   4.1
0.00004,   3.5
0.00005,   4.4
0.00005,   3.7
0.00004,   3.4
0.00004,   3.1
0.00005,   2.9
0.00005,   4.1
0.00006,   3.9
0.00004,   4.1
0.00004,   4.1
0.00004,   4.3
0.00004,   4.5
0.00004,   4.2
0.00005,   5.0
0.00006,   4.5
0.00004,   4.6
0.00004,   4.2
0.00005,   4.4
0.00005,   4.9
0.00004,   3.9
0.00005,   4.5
0.00004,   4.2
0.00005,   5.0
0.00004,   4.2
0.00003,   4.5
0.00004,   5.0
0.00005,   4.4
0.00005,   4.1
0.00005,   4.5
0.00005,   3.9
0.00005,   4.6
0.00004,   4.2
0.00006,   4.8
0.00005,   3.6
0.00004,   4.0
0.00005,   4.6
0.00004,   4.2
0.00004,   3.9
0.00003,   4.3
0.00005,   5.4
0.00004,   4.3
0.00006,   4.5
0.00006,   4.4
0.00005,   4.0
0.00003,   4.5
0.00006,   4.9
0.00005,   4.5
0.00005,   4.8
0.00005,   4.2
0.00004,   4.7
0.00006,   3.8
0.00004,   4.5
0.00005,   4.5
0.00005,   4.2
0.00005,   4.2
0.00004,   4.3
0.00006,   3.5
0.00005,   3.7
