2/12/2016
3:45 PM
Sampling Frequency:,10Hz 
Group:,Group1
Extensometer:,E85191
Sample:,T6 Aluminum
Sample width [inch]:,0.499000
Sample thickness [inch]:,0.124000
--------,--------

Extensometer,Load
[Inches],[Lbs]
0.00387,1152.6
0.00388,1157.4
0.00391,1163.0
0.00394,1169.0
0.00393,1176.0
0.00395,1181.4
0.00399,1188.4
0.00400,1194.0
0.00403,1200.2
0.00403,1205.3
0.00406,1210.8
0.00406,1217.2
0.00408,1222.2
0.00411,1227.9
0.00413,1233.7
0.00414,1241.1
0.00416,1247.1
0.00419,1252.1
0.00422,1258.9
0.00423,1264.7
0.00425,1270.3
0.00426,1277.1
0.00429,1281.7
0.00431,1289.6
0.00433,1294.3
0.00434,1300.7
0.00436,1307.3
0.00438,1313.7
0.00440,1319.5
0.00443,1325.7
0.00445,1332.5
0.00448,1338.4
0.00449,1345.5
0.00452,1351.7
0.00455,1358.0
0.00458,1365.4
0.00459,1372.3
0.00460,1378.0
0.00462,1385.1
0.00465,1391.6
0.00468,1398.7
0.00469,1404.8
0.00471,1412.6
0.00474,1419.2
0.00476,1425.9
0.00478,1433.6
0.00482,1441.0
0.00484,1449.1
0.00486,1455.1
0.00491,1461.8
0.00490,1469.5
0.00493,1476.8
0.00495,1483.3
0.00498,1490.5
0.00501,1497.8
0.00504,1504.8
0.00506,1510.8
0.00508,1517.5
0.00511,1525.2
0.00511,1531.8
0.00515,1539.3
0.00518,1547.6
0.00521,1554.1
0.00522,1560.9
0.00525,1567.8
0.00530,1576.2
0.00530,1583.2
0.00532,1591.3
0.00535,1598.3
0.00537,1605.7
0.00540,1612.0
0.00544,1619.4
0.00545,1627.5
0.00547,1634.0
0.00549,1641.2
0.00552,1648.5
0.00554,1656.0
0.00556,1662.3
0.00560,1669.9
0.00563,1677.7
0.00566,1684.1
0.00569,1692.5
0.00571,1700.1
0.00573,1706.9
0.00576,1714.6
0.00579,1722.8
0.00581,1730.3
0.00584,1736.9
0.00587,1742.6
0.00588,1750.7
0.00594,1759.1
0.00593,1764.8
0.00596,1772.8
0.00600,1781.2
0.00602,1788.1
0.00605,1797.0
0.00608,1804.2
0.00609,1810.0
0.00611,1817.2
0.00616,1825.0
0.00618,1832.3
0.00621,1840.2
0.00624,1846.5
0.00626,1855.8
0.00629,1862.6
0.00632,1869.9
0.00635,1877.5
0.00638,1886.4
0.00642,1891.5
0.00644,1900.6
0.00646,1907.7
0.00650,1915.2
0.00651,1921.9
0.00655,1929.3
0.00658,1937.1
0.00659,1944.2
0.00663,1951.4
0.00665,1958.8
0.00668,1966.6
0.00671,1973.9
0.00673,1981.4
0.00677,1988.8
0.00681,1997.0
0.00683,2004.2
0.00686,2012.3
0.00689,2019.5
0.00692,2027.1
0.00694,2033.2
0.00697,2041.4
0.00700,2048.3
0.00702,2055.7
0.00708,2064.3
0.00708,2071.5
0.00713,2077.7
0.00715,2085.5
0.00719,2093.7
0.00723,2101.8
0.00724,2107.4
0.00730,2116.1
0.00731,2124.1
0.00734,2130.9
0.00740,2138.2
0.00742,2145.7
0.00743,2154.3
0.00748,2160.3
0.00753,2167.3
0.00755,2175.3
0.00760,2182.5
0.00760,2189.5
0.00766,2197.4
0.00769,2204.8
0.00774,2212.2
0.00776,2218.7
0.00780,2226.9
0.00783,2234.1
0.00787,2242.0
0.00791,2248.7
0.00795,2255.0
0.00799,2263.7
0.00803,2270.4
0.00809,2278.0
0.00811,2284.5
0.00817,2291.5
0.00819,2298.5
0.00825,2305.1
0.00830,2311.1
0.00834,2317.9
0.00838,2325.1
0.00844,2331.9
0.00850,2338.2
0.00853,2344.2
0.00860,2351.8
0.00865,2356.9
0.00870,2362.8
0.00877,2369.7
0.00882,2376.1
0.00889,2381.6
0.00897,2386.4
0.00903,2391.5
0.00910,2398.5
0.00921,2402.1
0.00930,2407.3
0.00936,2411.8
0.00947,2415.5
0.00957,2420.3
0.00967,2424.1
0.00977,2429.2
0.00988,2433.8
0.01001,2436.7
0.01012,2439.3
0.01024,2443.7
0.01036,2446.6
0.01049,2450.7
0.01060,2454.5
0.01075,2457.7
0.01088,2460.1
0.01100,2463.3
0.01114,2465.8
0.01129,2469.1
0.01142,2471.6
0.01156,2475.1
0.01172,2476.2
0.01187,2480.9
0.01201,2481.6
0.01214,2484.0
0.01231,2486.6
0.01248,2489.2
0.01263,2491.5
0.01279,2492.8
0.01296,2495.5
0.01312,2497.4
0.01329,2498.7
0.01346,2500.7
0.01363,2503.1
0.01381,2505.1
0.01398,2505.6
0.01415,2507.0
0.01433,2508.5
0.01449,2509.8
0.01469,2511.4
0.01486,2513.4
0.01503,2513.9
0.01522,2516.1
0.01541,2515.9
0.01561,2517.5
0.01579,2518.2
0.01599,2519.5
0.01619,2521.1
0.01639,2522.0
0.01661,2522.5
0.01682,2523.5
0.01701,2524.2
0.01722,2526.0
0.01741,2525.4
0.01764,2526.4
0.01783,2526.5
0.01806,2528.6
0.01829,2529.0
0.01849,2528.3
0.01870,2529.2
0.01893,2529.5
0.01914,2529.5
0.01937,2530.2
0.01957,2530.8
0.01979,2531.1
0.02004,2532.7
0.02024,2532.4
0.02047,2533.4
0.02070,2533.6
0.02091,2534.7
0.02114,2534.0
0.02137,2534.5
0.02158,2534.7
0.02182,2535.5
0.02203,2536.8
0.02228,2536.6
0.02251,2536.4
0.02272,2536.8
0.02295,2537.9
0.02319,2536.9
0.02341,2538.0
0.02361,2539.4
0.02385,2539.3
0.02408,2539.1
0.02431,2539.7
0.02453,2540.2
0.02477,2541.2
0.02500,2541.2
0.02523,2541.1
0.02546,2541.6
0.02572,2542.9
0.02595,2543.2
0.02618,2542.9
0.02642,2541.7
0.02666,2543.0
0.02689,2543.6
0.02710,2543.1
0.02735,2543.9
0.02758,2544.9
0.02780,2544.1
0.02804,2545.1
0.02827,2544.9
0.02848,2546.3
0.02872,2546.8
0.02895,2546.7
0.02917,2546.0
0.02940,2546.8
0.02963,2547.1
0.02985,2548.0
0.03009,2547.9
0.03029,2548.2
0.03050,2546.9
0.03071,2546.3
0.03090,2546.6
0.03107,2546.0
0.03126,2548.2
0.03144,2547.6
0.03161,2548.5
0.03177,2547.3
0.03192,2547.1
0.03208,2547.5
